,name,text
20,Monocrystalline PV Module - PENTA+ Premium - 330 - 350 Watt (335W),"name:Monocrystalline PV Module - PENTA+ Premium - 330 - 350 Watt (335W);Manufacturer(brand):Astronergy;cell type:Monocrystalline;number of cells:nan;wattage:335.0;height:35mm;weight:19.1;application:Residential;product url:[Monocrystalline PV Module - PENTA+ Premium - 330 - 350 Watt (335W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-penta-premium-330-350-watt-335w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/da237dc8-f51b-4108-9ec6-1bad71ba8240/Monocrystalline%20PV%20Module%20-%20PENTA%2B%20Premium%20-%20330%20-%20350%20Watt%20%28335W%29_img.jpg]"
21,Duomax BIFACIAL DUAL GLASS 72-LAYOUT MODULE - 350 - 370 Watt (360W),"name:Duomax BIFACIAL DUAL GLASS 72-LAYOUT MODULE - 350 - 370 Watt (360W);Manufacturer(brand):Trina Solar;cell type:Monocrystalline;number of cells:72.0;wattage:360.0;height:25mm;weight:31.0;application:Residential;product url:[Duomax BIFACIAL DUAL GLASS 72-LAYOUT MODULE - 350 - 370 Watt (360W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-duomax-bifacial-dual-glass-72-layout-module-350-370-watt-360w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/9c98d139-7094-4221-ac49-1d128b543093/Duomax%20BIFACIAL%20DUAL%20GLASS%2072-LAYOUT%20MODULE%20-%20350%20-%20370%20Watt%20%28360W%29_img.jpeg]"
22,Polycrystalline PV Module - PENTA Classic - 265 - 280 Watt (275W),"name:Polycrystalline PV Module - PENTA Classic - 265 - 280 Watt (275W);Manufacturer(brand):Astronergy;cell type:Monocrystalline;number of cells:nan;wattage:275.0;height:35mm;weight:18.4;application:Residential;product url:[Polycrystalline PV Module - PENTA Classic - 265 - 280 Watt (275W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-polycrystalline-pv-module-penta-classic-265-280-watt-275w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/dea7a5ff-37a2-4eea-891c-09d70198a341/Polycrystalline%20PV%20Module%20-%20PENTA%20Classic%20-%20265%20-%20280%20Watt%20%28275W%29_img.jpg]"
23,Monocrystalline PV Module - PENTA+ Premium - 330 - 350 Watt (330W),"name:Monocrystalline PV Module - PENTA+ Premium - 330 - 350 Watt (330W);Manufacturer(brand):Astronergy;cell type:Monocrystalline;number of cells:nan;wattage:330.0;height:35mm;weight:19.1;application:Residential;product url:[Monocrystalline PV Module - PENTA+ Premium - 330 - 350 Watt (330W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-penta-premium-330-350-watt-330w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/a65f9ba1-e3e8-4c72-b643-d97c020d662f/Monocrystalline%20PV%20Module%20-%20PENTA%2B%20Premium%20-%20330%20-%20350%20Watt%20%28330W%29_img.jpg]"
24,REC Alpha Pure-R Series - 400 - 430 Watt (410W),"name:REC Alpha Pure-R Series - 400 - 430 Watt (410W);Manufacturer(brand):REC Solar;cell type:Half-Cell;number of cells:80.0;wattage:410.0;height:30mm;weight:21.5;application:Residential;product url:[REC Alpha Pure-R Series - 400 - 430 Watt (410W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-rec-alpha-pure-r-series-400-430-watt-410w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/aa2b0701-a654-40f8-bc5e-79f9d4ee5b2c/REC%20Alpha%20Pure-R%20Series%20-%20400%20-%20430%20Watt%20%28410W%29_img.jpg]"
25,Monocrystalline PV Module - PENTA+ Premium - 290 - 315 Watt (295W),"name:Monocrystalline PV Module - PENTA+ Premium - 290 - 315 Watt (295W);Manufacturer(brand):Astronergy;cell type:Monocrystalline;number of cells:nan;wattage:295.0;height:35mm;weight:18.4;application:Residential;product url:[Monocrystalline PV Module - PENTA+ Premium - 290 - 315 Watt (295W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-penta-premium-290-315-watt-295w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/d10b7e7a-94e0-4ba5-9a26-5b41f12582c0/Monocrystalline%20PV%20Module%20-%20PENTA%2B%20Premium%20-%20290%20-%20315%20Watt%20%28295W%29_img.jpg]"
26,Tallmax Framed 252 Layout Module - 470 - 490 Watt (480W),"name:Tallmax Framed 252 Layout Module - 470 - 490 Watt (480W);Manufacturer(brand):Trina Solar;cell type:Monocrystalline PERC;number of cells:252.0;wattage:480.0;height:35mm;weight:26.0;application:Commercial;product url:[Tallmax Framed 252 Layout Module - 470 - 490 Watt (480W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tallmax-framed-252-layout-module-470-490-watt-480w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/5943ea28-d3a3-440b-9283-4d7811475cc0/Tallmax%20Framed%20252%20Layout%20Module%20-%20470%20-%20490%20Watt%20%28480W%29_img.jpg]"
27,Monocrystalline PV Module- PENTA Premium - 275 - 290 Watt (280W),"name:Monocrystalline PV Module- PENTA Premium - 275 - 290 Watt (280W);Manufacturer(brand):Astronergy;cell type:Monocrystalline;number of cells:nan;wattage:280.0;height:35mm;weight:18.4;application:Residential;product url:[Monocrystalline PV Module- PENTA Premium - 275 - 290 Watt (280W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-penta-premium-275-290-watt-280w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/5e0a7d39-b928-4c02-9d84-57033d074001/Monocrystalline%20PV%20Module-%20PENTA%20Premium%20-%20275%20-%20290%20Watt%20%28280W%29_img.jpg]"
28,First Solar Series 4x PV Module - 105 - 117.5 Watt (115W),"name:First Solar Series 4x PV Module - 105 - 117.5 Watt (115W);Manufacturer(brand):First Solar;cell type:Thin-film;number of cells:105.0;wattage:115.0;height:6.8mm;weight:12.0;application:Residential;product url:[First Solar Series 4x PV Module - 105 - 117.5 Watt (115W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-first-solar-series-4x-pv-module-105-117-5-watt-115w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/a9341415-ca1f-48fa-84e0-002f2aa8c4cb/First%20Solar%20Series%204x%20PV%20Module%20-%20105%20-%20117.5%20Watt%20%28115W%29_img.jpg]"
29,First Solar Series 6    - 430 -  460 Watt (455W),"name:First Solar Series 6    - 430 -  460 Watt (455W);Manufacturer(brand):First Solar;cell type:Thin-film;number of cells:264.0;wattage:455.0;height:49mm;weight:34.5;application:Commercial;product url:[First Solar Series 6    - 430 -  460 Watt (455W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-first-solar-series-6-430-460-watt-455w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/61de02dc-8b51-4be0-b665-ae4814125608/First%20Solar%20Series%206%20%20%20%20-%20430%20-%20%20460%20Watt%20%28455W%29_img.jpeg]"
